"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29467.6","","","","1"
"2012","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29117.4","","","","1"
"2013","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29017.0","","","","1"
"2014","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29039.6","","","","1"
"2015","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29275.7","","","","1"
"2016","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29546.0","","","","1"
"2017","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30223.9","","","","1"
"2018","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30446.6","","","","1"
"2019","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30745.4","","","","1"
"2000","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","270025.0","","","","1"
"2001","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","274723.3","","","","1"
"2002","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","282805.5","","","","1"
"2003","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","286045.6","","","","1"
"2004","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","293280.1","","","","1"
"2005","Quebec","2016A000224","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","297892.2","","","","1"
