"REF_DATE","GEO","DGUID","Statistical measures","Long-run variables","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.7","A","","","1"
"2003","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","9.2","A","","","1"
"2004","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.5","A","","","1"
"2005","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.2","A","","","1"
"2006","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.0","A","","","1"
"2007","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.2","A","","","1"
"2008","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.3","A","","","1"
"2009","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.6","A","","","1"
"2010","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","8.0","A","","","1"
"2011","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.8","A","","","1"
"2012","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.7","A","","","1"
"2013","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.6","A","","","1"
"2014","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.8","A","","","1"
"2015","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.6","A","","","1"
"2016","Quebec","2016A000224","Linked data","Unemployment rate","Percent","239","units","0","v1014029045","6.1.7","7.0","A","","","1"
"2000","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","30475.3","A","","","1"
"2001","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","31068.1","A","","","1"
"2002","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","31233.7","A","","","1"
"2003","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","31834.3","A","","","1"
"2004","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","33015.8","A","","","1"
"2005","Ontario","2016A000235","Linked data","Household income per capita","Dollars","81","units","0","v1000000036","7.1.1","34066.9","A","","","1"
